"ID";"Подразделение";"Название кейса";"Задача";"Сценарий";"Результат";"Шаг 1 - Что делается";"Шаг 1 - Инструмент";"Шаг 1 - Промпт";"Шаг 1 - Действие пользователя";"Шаг 2 - Что делается";"Шаг 2 - Инструмент";"Шаг 2 - Промпт";"Шаг 2 - Действие пользователя";"Шаг 3 - Что делается";"Шаг 3 - Инструмент";"Шаг 3 - Промпт";"Шаг 3 - Действие пользователя";"Шаг 4 - Что делается";"Шаг 4 - Инструмент";"Шаг 4 - Промпт";"Шаг 4 - Действие пользователя";"Шаг 5 - Что делается";"Шаг 5 - Инструмент";"Шаг 5 - Промпт";"Шаг 5 - Действие пользователя";"Шаг 6 - Что делается";"Шаг 6 - Инструмент";"Шаг 6 - Промпт";"Шаг 6 - Действие пользователя";"Шаг 7 - Что делается";"Шаг 7 - Инструмент";"Шаг 7 - Промпт";"Шаг 7 - Действие пользователя"
"1";"Центр внедрений и развития спроса";"Карта потребностей подразделений и приоритизация спроса";"Собрать из интервью, писем и заметок единый перечень потребностей внутренних заказчиков и понять, что запускать первым.";"Сотрудник загружает материалы встреч, ИИ выделяет потребности, группирует их по темам, помогает расставить приоритеты и оформить короткую записку для руководителя.";"Таблица потребностей, рейтинг приоритетов и краткий план следующих действий.";"Собрать протоколы, письма и заметки в единый массив";"Анализ документов";"";"Соберите в одну папку материалы встреч, переписку и внутренние запросы.";"Выделить потребности, боли и ожидаемые эффекты";"LLM / чат-модель";"";"Загрузите документы в AI-инструмент и попросите выделить повторяющиеся потребности.";"Присвоить приоритеты по критериям влияния и срочности";"Табличная аналитика";"";"Перенесите результат в таблицу и попросите ИИ предложить критерии приоритизации.";"Проверить спорные пункты и скорректировать рейтинг";"LLM / чат-модель";"";"Проверьте спорные пункты вручную и скорректируйте рейтинг.";"Оформить выводы в записку и 3–5 слайдов";"Презентации / визуализация";"";"Сформируйте итоговую записку и короткую презентацию.";"";"";"";"";"";"";"";""
"2";"Центр внедрений и развития спроса";"Разбор обратной связи после пилотного внедрения";"Быстро понять, что пользователи приняли хорошо, что мешает внедрению и что нужно доработать.";"Сотрудник загружает анкеты, комментарии и протоколы созвонов, а ИИ группирует проблемы, выделяет позитивные сигналы и предлагает план доработок.";"Сводка обратной связи и список приоритетных изменений.";"Собрать анкеты, комментарии и стенограммы созвонов";"Анализ документов / speech-to-text";"";"Соберите анкеты, письма, чаты и записи обсуждений по результатам пилота.";"Преобразовать аудио в текст";"Speech-to-text";"";"Преобразуйте аудио в текст, если часть обратной связи была на встречах.";"Сгруппировать обратную связь по темам";"LLM / чат-модель";"";"Попросите ИИ разделить обратную связь на темы: ценность, сложности, предложения.";"Оценить частотность и критичность замечаний";"Табличная аналитика";"";"Перенесите ключевые замечания в таблицу и расставьте приоритеты.";"Подготовить слайд с рекомендациями";"Презентации / визуализация";"";"Подготовьте короткий слайд с тем, что исправлять в первую очередь.";"";"";"";"";"";"";"";""
"3";"Центр пилотирования технологий";"Паспорт пилота из разрозненных материалов";"Собрать по пилотному проекту единый паспорт из писем, презентаций и рабочих заметок.";"ИИ извлекает из разрозненных материалов цель пилота, гипотезу, сроки, метрики, участников и ограничения, а затем собирает все в один шаблон.";"Стандартизированный паспорт пилота.";"Собрать письма, презентации и заметки по пилоту";"Анализ документов";"";"Соберите все исходные материалы по пилоту в одну папку.";"Извлечь ключевые поля паспорта";"LLM / чат-модель";"";"Загрузите их в AI-инструмент и задайте шаблон полей паспорта.";"Проверить полноту и выявить недостающие данные";"Анализ документов";"";"Попросите ИИ заполнить шаблон и отметить пустые поля.";"Уточнить недостающие данные у команды проекта";"LLM / чат-модель";"";"Уточните недостающие данные у команды проекта.";"Оформить паспорт в шаблоне";"Анализ документов / презентации";"";"Сохраните финальный паспорт для дальнейшей работы.";"";"";"";"";"";"";"";""
"4";"Центр пилотирования технологий";"Еженедельный мониторинг статуса пилота";"Быстро обновлять статус пилота без ручного перечитывания всех отчетов и переписок.";"Сотрудник загружает еженедельные отчеты, заметки и стенограммы, а ИИ собирает краткую сводку: прогресс, блокеры, решения и следующий шаг.";"Короткий статус-репорт по пилоту на неделю.";"Собрать недельные материалы по пилоту";"Анализ документов / speech-to-text";"";"Соберите отчет, переписку и материалы встреч за неделю.";"Преобразовать записи встреч в текст при необходимости";"Speech-to-text";"";"Если были созвоны, преобразуйте запись в текст.";"Выделить прогресс, блокеры и отклонения";"LLM / чат-модель";"";"Попросите ИИ сделать сводку по четырем блокам: сделано, риски, решения, следующий шаг.";"Сверить выводы с ответственным по пилоту";"LLM / чат-модель";"";"Сверьте выводы с ответственным по пилоту.";"Оформить еженедельную сводку";"Презентации / визуализация";"";"Разошлите короткий статус-репорт заинтересованным сторонам.";"";"";"";"";"";"";"";""
"5";"Центр финансовых мер поддержки и экспертизы";"Предварительный скрининг заявки на меру поддержки";"Быстро определить, насколько заявка соответствует базовым требованиям и где есть пробелы.";"ИИ анализирует заявку и приложения, сверяет их с критериями программы и формирует перечень сильных и слабых мест.";"Краткая карта соответствия заявки требованиям.";"Загрузить заявку, приложения и критерии программы";"Анализ документов";"";"Подготовьте пакет заявки и актуальные критерии отбора.";"Сопоставить содержание заявки с критериями";"LLM / чат-модель";"";"Попросите ИИ разложить критерии по пунктам и проверить наличие подтверждений.";"Отметить недостающие данные и риски";"Анализ документов";"";"Сформируйте список пробелов и слабых мест заявки.";"Проверить спорные пункты вручную";"LLM / чат-модель";"";"Проверьте спорные пункты вручную.";"Оформить внутренний лист первичной оценки";"Анализ документов";"";"Сохраните лист первичной оценки для дальнейшей экспертизы.";"";"";"";"";"";"";"";""
"6";"Центр развития цифровой инфраструктуры";"Анализ обращений пользователей и приоритизация доработок";"Понять, какие проблемы пользователей повторяются чаще всего и какие доработки нужно ставить в первую очередь.";"ИИ обрабатывает обращения, тикеты и комментарии, выделяет темы, оценивает частотность и помогает собрать приоритетный список изменений.";"Топ проблем пользователей и список приоритетных доработок.";"Собрать обращения, тикеты и комментарии";"Анализ документов";"";"Выгрузите обращения пользователей за выбранный период.";"Сгруппировать обращения по типам проблем";"LLM / чат-модель";"";"Попросите ИИ объединить похожие обращения в общие темы.";"Оценить частоту и влияние";"Табличная аналитика";"";"Подсчитайте частоту и отметьте наиболее критичные темы.";"Сформировать список доработок для ближайшего релиза";"LLM / чат-модель";"";"Сформируйте список доработок для ближайшего релиза.";"Подготовить слайд с приоритетами";"Презентации / визуализация";"";"Подготовьте короткую сводку для команды и руководителя.";"";"";"";"";"";"";"";""
"7";"Центр коммуникаций и маркетинга";"Контент-план кампании по запуску инициативы";"Собрать последовательный план коммуникаций для запуска проекта, программы или сервиса.";"ИИ помогает определить аудитории, ключевые сообщения, форматы контента и календарь публикаций под разные каналы.";"Контент-план кампании и набор сообщений по сегментам аудитории.";"Собрать вводные по инициативе, целям и аудиториям";"Анализ документов";"";"Сформулируйте цель кампании и список целевых аудиторий.";"Сформулировать сообщения для разных сегментов";"LLM / чат-модель";"";"Попросите ИИ предложить ключевые сообщения для каждой аудитории.";"Разложить материалы по каналам и датам";"Табличная аналитика";"";"Разложите сообщения по каналам: сайт, соцсети, рассылка, мероприятие.";"Сформировать календарь публикаций";"Табличная аналитика";"";"Сформируйте календарь публикаций на период кампании.";"Подготовить черновики визуалов и карточек";"Презентации / визуализация / генерация изображений";"";"Подготовьте черновики визуалов и согласуйте стиль.";"";"";"";"";"";"";"";""
"8";"Центр закупочной деятельности";"Сравнение коммерческих предложений по единым критериям";"Сопоставить предложения поставщиков по единой логике и быстро подготовить сравнительную таблицу.";"ИИ извлекает ключевые параметры из коммерческих предложений, помогает заполнить матрицу сравнения и выделяет отличия, требующие внимания.";"Сравнительная матрица предложений и список спорных различий.";"Загрузить коммерческие предложения и критерии оценки";"Анализ документов";"";"Соберите все коммерческие предложения в одном формате.";"Извлечь параметры и условия";"LLM / чат-модель";"";"Попросите ИИ выделить цену, сроки, объем, условия и дополнительные опции.";"Свести данные в сравнительную таблицу";"Табличная аналитика";"";"Сведите параметры в единую таблицу.";"Выделить пункты с сильными различиями";"LLM / чат-модель";"";"Отдельно выделите пункты, где предложения различаются сильнее всего.";"Оформить краткую справку по различиям";"Анализ документов / презентации";"";"Подготовьте короткую справку для рабочей группы.";"";"";"";"";"";"";"";""
"9";"Центр развития исследований и разработок";"Обзор научно-технологических трендов по теме";"Подготовить короткий и понятный обзор по выбранному направлению исследований.";"ИИ собирает материалы по теме, выделяет основные направления, свежие сюжеты, перспективные применения и помогает оформить обзор для команды.";"Тематический обзор с ключевыми трендами и выводами.";"Собрать публикации, отчеты и открытые материалы";"Поиск и суммаризация материалов";"";"Сформулируйте тему исследования и временной горизонт обзора.";"Выделить основные направления и тренды";"LLM / чат-модель";"";"Соберите релевантные публикации и отчеты.";"Сгруппировать материалы по темам и применимости";"Табличная аналитика";"";"Попросите ИИ выделить 5–7 основных трендов и возможные области применения.";"Свести материалы в краткую таблицу";"Табличная аналитика";"";"Сведите материалы в краткую таблицу.";"Оформить обзор и короткие выводы";"Презентации / визуализация";"";"Оформите обзор для рабочей группы.";"";"";"";"";"";"";"";""
"10";"Центр сопровождения специальных проектов";"Единый статус-репорт по спецпроекту из нескольких источников";"Собрать в один статус информацию из переписки, протоколов, отчетов и встреч.";"ИИ объединяет разрозненные материалы, выделяет текущий прогресс, проблемные точки и ключевые решения за период.";"Единый статус-репорт по проекту на 1 страницу.";"Собрать отчеты, письма и протоколы";"Анализ документов";"";"Соберите материалы по проекту за отчетный период.";"Выделить выполненные задачи, блокеры и решения";"LLM / чат-модель";"";"Попросите ИИ выделить три блока: прогресс, риски, решения.";"Сопоставить текущий статус с планом";"Табличная аналитика";"";"Сравните выводы с планом проекта.";"Дополнить сводку недостающими фактами";"LLM / чат-модель";"";"Дополните сводку недостающими фактами.";"Оформить управленческую сводку";"Презентации / визуализация";"";"Подготовьте финальный статус-репорт для рассылки.";"";"";"";"";"";"";"";""
"11";"Аналитический центр";"Аналитическая записка по теме из набора источников";"Подготовить краткую аналитическую записку по выбранной теме без ручного перечитывания всех материалов.";"ИИ анализирует документы, новости, заметки и отчеты, выделяет ключевые факты, позиции, риски и формирует структурированный черновик записки.";"Черновик аналитической записки с тезисами и выводами.";"Собрать источники по теме";"Поиск и суммаризация материалов / анализ документов";"";"Сформулируйте тему и соберите набор исходных источников.";"Выделить ключевые факты и повторы";"LLM / чат-модель";"";"Попросите ИИ выделить главные факты, цифры и тенденции.";"Сгруппировать материалы по блокам записки";"Табличная аналитика";"";"Разбейте результат по блокам: контекст, динамика, риски, выводы.";"Проверить точность критичных тезисов";"Анализ документов";"";"Проверьте точность критичных тезисов.";"Оформить итоговый текст и слайд с выводами";"Анализ документов / презентации";"";"Соберите финальную записку и короткий слайд.";"";"";"";"";"";"";"";""
"12";"Центр развития ИС РПП";"Сбор требований к доработке ИС из обращений пользователей";"Превратить поток разрозненных пожеланий и замечаний по системе в понятный список доработок.";"ИИ анализирует обращения, выделяет повторяющиеся потребности, убирает дубли и помогает сформировать первичный перечень требований.";"Список требований к доработке системы с группировкой по темам.";"Собрать обращения, письма и заметки пользователей";"Анализ документов";"";"Выгрузите обращения и пожелания пользователей за период.";"Выделить и сгруппировать потребности";"LLM / чат-модель";"";"Попросите ИИ объединить похожие запросы в общие темы.";"Убрать дубли и разложить требования по блокам";"Табличная аналитика";"";"Сведите итог в таблицу и отметьте критичность каждой темы.";"Сформулировать требования простым и проверяемым языком";"LLM / чат-модель";"";"Сформулируйте требования простым и проверяемым языком.";"Оформить черновик постановки на доработку";"Анализ документов";"";"Подготовьте черновик для обсуждения с командой разработки.";"";"";"";"";"";"";"";""
"13";"Центр визуальных коммуникаций";"Презентация по проекту из черновых материалов";"Быстро собрать содержательную презентацию из разрозненных текстов, цифр и заметок.";"ИИ анализирует исходные материалы, предлагает сюжет презентации, распределяет содержание по слайдам и помогает собрать визуально цельный черновик.";"Черновая презентация с логикой повествования и ключевыми слайдами.";"Собрать тексты, заметки, цифры и референсы";"Анализ документов";"";"Соберите все материалы по проекту в одну папку.";"Предложить структуру и сюжет презентации";"LLM / чат-модель";"";"Попросите ИИ предложить структуру презентации и ключевые тезисы по слайдам.";"Подготовить визуальную подачу и макеты слайдов";"Презентации / визуализация";"";"Выберите стиль подачи и визуальные референсы.";"Собрать черновик презентации";"Презентации / визуализация";"";"Соберите черновик презентации на основе предложенной структуры.";"Проверить факты и упростить перегруженные слайды";"LLM / чат-модель";"";"Проверьте факты и упростите перегруженные слайды.";"";"";"";"";"";"";"";""
"14";"Центр развития ИЦ Сколково";"Анализ запросов резидентов и приоритизация сервисных улучшений";"Понять, какие потребности и проблемы чаще всего встречаются у участников экосистемы.";"ИИ анализирует обращения, анкеты и итоги встреч, группирует запросы и помогает приоритизировать улучшения сервисов.";"Сводка по запросам участников и список улучшений с приоритетами.";"Собрать обращения, анкеты и заметки встреч";"Анализ документов";"";"Выгрузите обращения и обратную связь от участников за период.";"Выделить повторяющиеся запросы и проблемы";"LLM / чат-модель";"";"Попросите ИИ объединить похожие запросы в тематические группы.";"Оценить частотность и влияние на опыт участника";"Табличная аналитика";"";"Отметьте темы, которые встречаются чаще всего и сильнее влияют на удовлетворенность.";"Сформировать предварительный список сервисных улучшений";"LLM / чат-модель";"";"Сформируйте предварительный список сервисных улучшений.";"Оформить предложения по улучшениям";"Презентации / визуализация";"";"Подготовьте сводку для обсуждения с руководством.";"";"";"";"";"";"";"";""
"15";"Центр межотраслевых кластеров";"Отчет по встречам с участниками и дорожная карта действий";"После серии встреч быстро превратить договоренности в конкретный план работы.";"ИИ из протоколов и стенограмм собирает общий список решений, ответственных и зависимостей, а затем помогает оформить дорожную карту.";"Единый план действий по итогам серии встреч.";"Собрать протоколы и записи встреч";"Анализ документов / speech-to-text";"";"Соберите материалы по всем прошедшим встречам.";"Расшифровать аудио или видео при необходимости";"Speech-to-text";"";"При необходимости расшифруйте аудио или видео.";"Извлечь решения, поручения и сроки";"LLM / чат-модель";"";"Попросите ИИ выделить договоренности, ответственных и сроки.";"Свести действия в календарный план";"Табличная аналитика";"";"Сведите результаты в единую таблицу действий.";"Оформить дорожную карту на 1–2 страницы";"Презентации / визуализация";"";"Оформите дорожную карту и согласуйте ее с командой.";"";"";"";"";"";"";"";""
